ocity_code,dcity_code,WILL_Idx,REAL_Idx,O_X,O_Y,D_X,D_Y
110000,230900,0.00627778,0.00088888,116.4126385,40.18563339,131.0113049,45.85164327
110000,231000,0.11133334,0.01083332,116.4126385,40.18563339,129.8890999,44.59628918
110000,231100,0.0732778,0.00600002,116.4126385,40.18563339,126.9860745,49.2630959
110000,231200,0.1481111,0.02449998,116.4126385,40.18563339,126.6459385,46.89375533
110000,232700,0.01394444,0.00055556,116.4126385,40.18563339,124.2036058,52.32603701
110000,310000,1.8281111,0.05755556,116.4126385,40.18563339,121.4344714,31.07414694
110000,320100,0.79599998,0.04161112,116.4126385,40.18563339,118.8427613,31.9277776
110000,320200,0.256,0.01677776,116.4126385,40.18563339,120.3298287,31.6915444
110000,320300,0.50855556,0.0752222,116.4126385,40.18563339,117.5129175,34.26582067
110000,320400,0.19877778,0.01572222,116.4126385,40.18563339,119.4004853,31.50684914
110000,320500,0.62888888,0.0358889,116.4126385,40.18563339,120.6558596,31.38349197
110000,320600,0.19816666,0.02350002,116.4126385,40.18563339,121.0442162,32.18290294
110000,320700,0.28172222,0.03872224,116.4126385,40.18563339,119.1087635,34.6314475
110000,320800,0.16777778,0.02177778,116.4126385,40.18563339,118.9648612,33.35176089
110000,320900,0.18961112,0.02777778,116.4126385,40.18563339,120.1948612,33.51415001
110000,321000,0.28477778,0.02894444,116.4126385,40.18563339,119.474472,32.73729539
110000,321100,0.07466666,0.0065,116.4126385,40.18563339,119.46753,32.06885117
110000,321200,0.1207222,0.01522222,116.4126385,40.18563339,120.0563571,32.57097366
110000,321300,0.14394444,0.02305556,116.4126385,40.18563339,118.5201908,33.78423854
110000,330100,1.05555554,0.044,116.4126385,40.18563339,119.4708146,29.89986219
110000,330200,0.2173889,0.00872224,116.4126385,40.18563339,121.4753616,29.73379301
110000,330300,0.15655554,0.00472222,116.4126385,40.18563339,120.458844,27.89614714
110000,330400,0.18255554,0.00883332,116.4126385,40.18563339,120.7789899,30.6219319
110000,330500,0.201,0.00616668,116.4126385,40.18563339,119.8687764,30.74481198
110000,330600,0.12516668,0.00594444,116.4126385,40.18563339,120.6365604,29.7346077
110000,330700,0.20722224,0.00777778,116.4126385,40.18563339,119.9522159,29.11710724
110000,330800,0.01261112,0.00083334,116.4126385,40.18563339,118.6745398,28.93436702
110000,330900,0.05344444,0.00155556,116.4126385,40.18563339,122.1424969,30.05883631
110000,331000,0.11627778,0.00466666,116.4126385,40.18563339,121.0289422,28.89632753
110000,331100,0.01244444,0.00083334,116.4126385,40.18563339,119.5120275,28.19927708
110000,340100,0.41855556,0.03738888,116.4126385,40.18563339,117.3550905,31.76262308
110000,340200,0.13611112,0.01899998,116.4126385,40.18563339,118.1348385,31.16236504
110000,340300,0.10377778,0.01216666,116.4126385,40.18563339,117.3247233,33.10928673
110000,340400,0.05488888,0.00727778,116.4126385,40.18563339,116.7845731,32.41689727
110000,340500,0.06583332,0.01172222,116.4126385,40.18563339,118.3655645,31.63851494
110000,340600,0.05633334,0.00844444,116.4126385,40.18563339,116.7390527,33.7209606
110000,340700,0.02138888,0.00355556,116.4126385,40.18563339,117.5614254,30.89034731
110000,340800,0.1246111,0.01783332,116.4126385,40.18563339,116.4864584,30.57560327
110000,341000,0.1366111,0.00422222,116.4126385,40.18563339,118.0709463,29.90653054
110000,341100,0.088,0.01033334,116.4126385,40.18563339,118.1023333,32.54422643
110000,341200,0.30194444,0.05916668,116.4126385,40.18563339,115.7041056,32.91708432
110000,341300,0.1793889,0.03316668,116.4126385,40.18563339,117.2100079,33.85954517
110000,341500,0.10572222,0.01416668,116.4126385,40.18563339,116.2287615,31.6589212
110000,341600,0.15888888,0.03055558,116.4126385,40.18563339,116.1802003,33.43557233
110000,341700,0.05211112,0.0063889,116.4126385,40.18563339,117.363748,30.28380488
110000,341800,0.05194442,0.00405556,116.4126385,40.18563339,118.8517787,30.68569806
110000,350100,0.23094442,0.00577778,116.4126385,40.18563339,119.1958946,26.04978231
110000,350200,0.22027776,0.00483334,116.4126385,40.18563339,118.1278832,24.73652072
110000,350500,0.06494444,0.00238888,116.4126385,40.18563339,118.2630973,25.20388055
110000,350600,0.07266668,0.00255554,116.4126385,40.18563339,117.4536852,24.33193506
